Boylam;Enlem;PGA_2%;PGA_10%;PGA_50%;PGA_68%;SS_2%;SS_10%;SS_50%;SS_68%;S1_2%;S1_10%;S1_50%;S1_68%;PGV_2%;PGV_10%;PGV_50%;PGV_68%
28.95;41.85;0.259;0.121;0.043;0.031;0.616;0.279;0.096;0.068;0.202;0.111;0.045;0.031;16.968;9.134;3.739;2.655
28.95;41.95;0.21;0.102;0.039;0.028;0.493;0.232;0.086;0.062;0.18;0.102;0.042;0.029;14.704;8.173;3.409;2.436
28.95;42.05;0.184;0.09;0.036;0.026;0.429;0.204;0.078;0.057;0.167;0.094;0.039;0.027;13.388;7.546;3.156;2.262
28.95;42.15;0.174;0.083;0.033;0.024;0.406;0.188;0.072;0.053;0.159;0.088;0.036;0.025;12.667;7.053;2.951;2.119
28.95;42.25;0.181;0.082;0.03;0.022;0.424;0.186;0.067;0.049;0.153;0.084;0.034;0.023;12.452;6.708;2.785;2.005
28.95;42.35;0.215;0.086;0.029;0.021;0.502;0.195;0.063;0.045;0.155;0.081;0.032;0.022;13.185;6.65;2.669;1.923
28.95;42.45;0.232;0.088;0.027;0.02;0.546;0.199;0.059;0.042;0.154;0.077;0.029;0.02;13.619;6.452;2.444;1.729
29.05;35.45;0.877;0.494;0.208;0.153;2.019;1.105;0.436;0.319;0.587;0.305;0.114;0.082;22.802;12.777;5.686;4.312
29.05;35.55;0.799;0.46;0.204;0.152;1.837;1.031;0.431;0.319;0.53;0.286;0.112;0.082;23.551;13.137;5.867;4.464
29.05;35.65;0.743;0.434;0.198;0.15;1.713;0.972;0.425;0.318;0.492;0.27;0.111;0.081;24.887;13.779;6.122;4.673
29.05;35.75;0.729;0.428;0.198;0.151;1.688;0.96;0.428;0.322;0.479;0.264;0.111;0.082;26.97;14.934;6.535;4.995
29.05;35.85;0.757;0.441;0.203;0.153;1.763;0.996;0.438;0.329;0.499;0.274;0.113;0.084;30.808;16.97;7.15;5.348
29.05;35.95;0.917;0.514;0.213;0.157;2.192;1.17;0.462;0.34;0.593;0.31;0.119;0.086;45.399;22.712;7.898;5.652
29.05;36.05;1.036;0.565;0.216;0.157;2.475;1.281;0.468;0.339;0.64;0.331;0.122;0.087;56.543;27.784;8.412;5.874
29.05;36.15;0.822;0.47;0.203;0.15;1.971;1.087;0.439;0.324;0.518;0.286;0.116;0.085;41.634;22.47;8.34;5.929
29.05;36.25;0.713;0.412;0.186;0.143;1.684;0.941;0.414;0.31;0.466;0.259;0.111;0.082;35.55;19.764;8.18;5.946
29.05;36.35;0.696;0.396;0.179;0.139;1.644;0.907;0.405;0.305;0.461;0.253;0.109;0.081;36.446;19.754;8.269;6.044
29.05;36.45;0.746;0.416;0.184;0.141;1.78;0.965;0.417;0.311;0.489;0.261;0.109;0.081;41.539;21.646;8.68;6.274
29.05;36.55;0.833;0.458;0.195;0.146;1.999;1.074;0.437;0.321;0.523;0.273;0.111;0.081;46.889;24.143;9.215;6.551
29.05;36.65;0.852;0.471;0.201;0.149;2.059;1.109;0.45;0.33;0.532;0.275;0.11;0.081;48.459;24.984;9.545;6.815
29.05;36.75;0.832;0.459;0.196;0.147;2.008;1.082;0.442;0.325;0.519;0.267;0.108;0.08;47.408;24.387;9.39;6.764
29.05;36.85;0.817;0.448;0.189;0.142;1.97;1.055;0.429;0.316;0.507;0.26;0.105;0.078;46.521;23.837;9.151;6.604
29.05;36.95;0.831;0.453;0.185;0.137;2.023;1.071;0.42;0.307;0.514;0.262;0.104;0.076;47.74;24.536;8.99;6.43
29.05;37.05;0.896;0.471;0.176;0.128;2.188;1.107;0.402;0.292;0.575;0.275;0.101;0.074;54.693;26.262;8.639;6.149
29.05;37.15;0.745;0.403;0.162;0.119;1.815;0.943;0.366;0.271;0.455;0.235;0.094;0.07;42.128;21.815;8.099;5.873
29.05;37.25;0.674;0.367;0.153;0.113;1.62;0.857;0.345;0.256;0.401;0.212;0.089;0.067;36.153;19.062;7.733;5.695
29.05;37.35;0.603;0.331;0.142;0.107;1.439;0.776;0.321;0.24;0.357;0.195;0.084;0.064;31.414;17.063;7.382;5.519
29.05;37.45;0.582;0.319;0.138;0.105;1.389;0.75;0.314;0.235;0.345;0.189;0.083;0.063;30.425;16.598;7.293;5.512
29.05;37.55;0.618;0.335;0.144;0.108;1.504;0.798;0.329;0.247;0.37;0.197;0.085;0.064;33.674;17.789;7.626;5.737
29.05;37.65;0.7;0.379;0.159;0.118;1.727;0.909;0.37;0.279;0.417;0.215;0.09;0.068;39.46;20.419;8.359;6.255
29.05;37.75;0.792;0.436;0.181;0.134;1.993;1.069;0.425;0.311;0.478;0.246;0.098;0.074;45.723;24.282;9.585;7.058
29.05;37.85;0.896;0.498;0.199;0.145;2.287;1.221;0.463;0.332;0.56;0.287;0.106;0.077;53.88;29.101;10.635;7.577
29.05;37.95;0.937;0.514;0.197;0.141;2.372;1.252;0.46;0.326;0.597;0.299;0.107;0.077;57.547;30.432;10.72;7.567
29.05;38.05;0.835;0.45;0.175;0.126;2.099;1.103;0.416;0.299;0.533;0.265;0.099;0.072;51.532;26.685;9.765;7.034
29.05;38.15;0.74;0.398;0.156;0.113;1.845;0.961;0.368;0.268;0.457;0.229;0.09;0.067;44.496;22.794;8.741;6.395
29.05;38.25;0.618;0.332;0.136;0.102;1.539;0.808;0.32;0.235;0.379;0.197;0.082;0.061;36.369;18.867;7.803;5.828
29.05;38.35;0.524;0.289;0.121;0.091;1.287;0.694;0.289;0.214;0.316;0.173;0.076;0.058;29.737;16.138;7.104;5.452
29.05;38.45;0.477;0.263;0.112;0.084;1.167;0.63;0.264;0.201;0.283;0.159;0.073;0.056;26.281;14.695;6.607;5.185
29.05;38.55;0.465;0.254;0.108;0.081;1.134;0.608;0.253;0.191;0.269;0.153;0.07;0.055;25.118;14.1;6.395;5.006
29.05;38.65;0.484;0.259;0.109;0.082;1.174;0.617;0.255;0.192;0.277;0.155;0.07;0.055;26.368;14.307;6.424;5.026
29.05;38.75;0.49;0.27;0.114;0.085;1.196;0.644;0.269;0.203;0.284;0.16;0.073;0.055;26.971;14.989;6.693;5.236
29.05;38.85;0.541;0.297;0.124;0.092;1.323;0.712;0.294;0.216;0.326;0.176;0.077;0.057;31.321;16.733;7.256;5.48
29.05;38.95;0.632;0.352;0.144;0.104;1.582;0.852;0.333;0.24;0.398;0.208;0.083;0.061;38.251;20.482;8.045;5.878
29.05;39.05;0.963;0.507;0.171;0.118;2.368;1.202;0.402;0.278;0.606;0.286;0.093;0.066;59.497;29.848;9.3;6.493
29.05;39.15;0.803;0.439;0.168;0.118;2.012;1.067;0.397;0.28;0.489;0.248;0.092;0.067;47.682;25.202;9.157;6.531
29.05;39.25;0.715;0.385;0.155;0.112;1.785;0.929;0.363;0.263;0.429;0.217;0.087;0.065;41.963;21.479;8.513;6.285
29.05;39.35;0.68;0.359;0.146;0.106;1.691;0.866;0.337;0.245;0.402;0.203;0.084;0.063;39.44;19.878;8.043;6.011
29.05;39.45;0.66;0.342;0.134;0.098;1.625;0.819;0.313;0.227;0.397;0.197;0.082;0.061;39.074;19.095;7.705;5.77
29.05;39.55;0.602;0.312;0.123;0.09;1.473;0.744;0.289;0.211;0.368;0.188;0.08;0.06;35.924;17.841;7.432;5.584
29.05;39.65;0.572;0.3;0.119;0.087;1.392;0.712;0.28;0.205;0.354;0.185;0.08;0.06;34.178;17.407;7.392;5.537
29.05;39.75;0.593;0.318;0.121;0.087;1.465;0.76;0.285;0.205;0.372;0.197;0.082;0.06;35.749;18.792;7.611;5.603
29.05;39.85;0.905;0.44;0.13;0.09;2.196;1.029;0.302;0.21;0.562;0.254;0.087;0.062;56.182;26.28;8.09;5.764
29.05;39.95;0.684;0.364;0.131;0.092;1.689;0.867;0.304;0.213;0.419;0.221;0.087;0.063;40.849;21.693;8.179;5.858
29.05;40.05;0.614;0.332;0.131;0.093;1.53;0.803;0.305;0.217;0.393;0.215;0.089;0.064;37.475;20.383;8.259;5.956
29.05;40.15;0.649;0.35;0.137;0.097;1.617;0.844;0.317;0.224;0.423;0.226;0.092;0.065;40.643;21.655;8.529;6.105
29.05;40.25;0.707;0.38;0.148;0.104;1.741;0.906;0.339;0.237;0.45;0.237;0.096;0.068;43.285;22.805;8.981;6.363
29.05;40.35;0.749;0.399;0.154;0.108;1.831;0.948;0.356;0.248;0.482;0.252;0.101;0.07;46.476;24.249;9.441;6.616
29.05;40.45;0.713;0.397;0.16;0.112;1.759;0.95;0.376;0.261;0.475;0.26;0.106;0.073;44.782;24.679;10.048;6.956
29.05;40.55;0.71;0.419;0.178;0.123;1.791;1.024;0.42;0.289;0.503;0.285;0.114;0.077;46.609;26.649;11.044;7.537
29.05;40.65;1.065;0.623;0.236;0.149;2.719;1.54;0.558;0.341;0.699;0.389;0.139;0.084;66.613;38.639;14.31;8.541
29.05;40.75;1.239;0.723;0.29;0.161;3.126;1.77;0.661;0.369;0.812;0.451;0.163;0.088;92.253;55.062;17.326;9.056
29.05;40.85;1.121;0.66;0.244;0.151;2.854;1.621;0.574;0.345;0.759;0.421;0.143;0.083;70.412;41.599;14.848;8.529
29.05;40.95;0.759;0.445;0.187;0.123;1.891;1.09;0.435;0.29;0.522;0.294;0.114;0.074;48.152;27.65;11.258;7.429
29.05;41.05;0.575;0.332;0.139;0.091;1.417;0.805;0.32;0.211;0.395;0.227;0.093;0.061;35.387;20.734;8.683;5.78
29.05;41.15;0.486;0.271;0.108;0.07;1.184;0.647;0.249;0.16;0.329;0.192;0.08;0.054;29.272;16.941;7.321;4.838
29.05;41.25;0.435;0.234;0.089;0.058;1.056;0.559;0.209;0.133;0.296;0.171;0.072;0.048;25.958;14.944;6.239;4.219
29.05;41.35;0.429;0.217;0.078;0.051;1.045;0.513;0.178;0.115;0.288;0.16;0.065;0.043;25.463;13.933;5.637;3.858
29.05;41.45;0.553;0.225;0.069;0.045;1.34;0.529;0.157;0.103;0.334;0.16;0.06;0.04;31.916;14.275;5.201;3.522
29.05;41.55;0.689;0.232;0.061;0.041;1.658;0.539;0.138;0.091;0.41;0.161;0.056;0.038;41.267;14.651;4.712;3.219
29.05;41.65;0.514;0.188;0.054;0.037;1.237;0.437;0.12;0.081;0.324;0.142;0.052;0.035;31.83;12.548;4.312;2.98
29.05;41.75;0.319;0.141;0.047;0.033;0.77;0.325;0.106;0.074;0.232;0.122;0.048;0.032;20.435;10.279;3.967;2.786
29.05;41.85;0.235;0.113;0.042;0.03;0.56;0.258;0.093;0.066;0.196;0.109;0.044;0.03;16.154;8.83;3.647;2.586
29.05;41.95;0.196;0.096;0.038;0.028;0.459;0.219;0.083;0.06;0.177;0.1;0.041;0.028;14.241;7.977;3.336;2.379
29.05;42.05;0.176;0.086;0.034;0.025;0.41;0.195;0.076;0.055;0.165;0.093;0.039;0.027;13.092;7.411;3.102;2.218
29.05;42.15;0.168;0.08;0.032;0.023;0.391;0.181;0.069;0.051;0.156;0.087;0.036;0.025;12.373;6.895;2.897;2.077
29.05;42.25;0.173;0.078;0.029;0.022;0.403;0.175;0.064;0.047;0.151;0.082;0.033;0.023;12.113;6.566;2.74;1.968
29.05;42.35;0.2;0.079;0.028;0.02;0.463;0.178;0.06;0.043;0.15;0.08;0.031;0.022;12.619;6.454;2.591;1.852
29.15;35.35;0.939;0.51;0.205;0.15;2.133;1.123;0.427;0.311;0.634;0.314;0.112;0.08;22.15;12.342;5.478;4.138
29.15;35.45;0.868;0.49;0.207;0.152;1.997;1.095;0.433;0.317;0.578;0.302;0.113;0.081;22.575;12.664;5.65;4.279
29.15;35.55;0.785;0.452;0.2;0.15;1.799;1.011;0.424;0.314;0.519;0.281;0.111;0.081;23.161;12.959;5.807;4.41
29.15;35.65;0.729;0.427;0.195;0.148;1.679;0.954;0.419;0.314;0.483;0.265;0.11;0.081;24.558;13.635;6.06;4.613
29.15;35.75;0.725;0.426;0.197;0.15;1.679;0.954;0.426;0.32;0.476;0.262;0.11;0.081;26.914;14.932;6.516;4.961
29.15;35.85;0.761;0.44;0.203;0.153;1.765;0.994;0.436;0.328;0.502;0.273;0.113;0.083;30.164;16.819;7.154;5.335
29.15;35.95;0.814;0.47;0.208;0.155;1.925;1.081;0.451;0.334;0.534;0.291;0.117;0.085;36.953;20.457;7.816;5.598
29.15;36.05;0.971;0.543;0.214;0.155;2.343;1.24;0.463;0.335;0.605;0.319;0.12;0.086;52.584;26.649;8.382;5.824
29.15;36.15;1.022;0.553;0.208;0.151;2.45;1.256;0.45;0.325;0.62;0.32;0.118;0.085;57.179;28.493;8.499;5.897
29.15;36.25;0.761;0.434;0.187;0.142;1.814;0.997;0.415;0.308;0.482;0.267;0.111;0.082;39.551;21.368;8.179;5.862
29.15;36.35;0.672;0.384;0.173;0.132;1.589;0.878;0.389;0.295;0.442;0.244;0.106;0.079;34.474;18.962;7.968;5.829
29.15;36.45;0.669;0.374;0.168;0.129;1.586;0.86;0.379;0.29;0.442;0.24;0.104;0.078;35.605;19.118;8.007;5.875
29.15;36.55;0.714;0.394;0.172;0.131;1.704;0.91;0.391;0.294;0.465;0.245;0.104;0.077;39.761;20.588;8.277;6.031
29.15;36.65;0.803;0.436;0.182;0.136;1.915;1.013;0.413;0.305;0.496;0.256;0.105;0.078;44.75;22.744;8.737;6.296
29.15;36.75;0.81;0.444;0.185;0.139;1.949;1.041;0.421;0.309;0.497;0.257;0.105;0.077;45.351;23.35;8.956;6.436
29.15;36.85;0.8;0.438;0.183;0.136;1.922;1.026;0.417;0.306;0.493;0.253;0.103;0.076;45.285;23.226;8.939;6.441
29.15;36.95;0.797;0.437;0.181;0.135;1.925;1.028;0.414;0.304;0.49;0.252;0.102;0.075;45.32;23.381;8.931;6.422
29.15;37.05;0.84;0.457;0.181;0.132;2.059;1.084;0.412;0.299;0.52;0.263;0.101;0.074;48.982;25.295;8.946;6.348
29.15;37.15;0.873;0.463;0.174;0.126;2.143;1.094;0.399;0.288;0.542;0.266;0.098;0.072;51.756;25.897;8.701;6.18
29.15;37.25;0.76;0.412;0.164;0.12;1.839;0.965;0.374;0.274;0.452;0.232;0.092;0.069;42.558;21.979;8.273;5.987
29.15;37.35;0.662;0.36;0.15;0.111;1.595;0.844;0.34;0.252;0.393;0.208;0.087;0.065;35.893;18.887;7.717;5.709
29.15;37.45;0.599;0.328;0.142;0.107;1.438;0.774;0.322;0.24;0.356;0.193;0.083;0.063;31.891;17.226;7.454;5.59
29.15;37.55;0.623;0.339;0.146;0.109;1.521;0.807;0.333;0.249;0.373;0.198;0.085;0.064;34.071;18.042;7.682;5.763
29.15;37.65;0.712;0.386;0.16;0.119;1.759;0.925;0.374;0.28;0.421;0.218;0.09;0.067;39.984;20.765;8.395;6.252
29.15;37.75;0.831;0.456;0.183;0.134;2.105;1.115;0.429;0.311;0.5;0.255;0.098;0.073;48.215;25.575;9.623;6.997
29.15;37.85;0.949;0.515;0.195;0.14;2.386;1.246;0.454;0.324;0.603;0.295;0.104;0.075;58.152;30.056;10.367;7.393
29.15;37.95;0.864;0.471;0.184;0.132;2.192;1.156;0.433;0.31;0.547;0.274;0.101;0.074;52.924;27.882;10.053;7.162
29.15;38.05;0.755;0.408;0.163;0.118;1.882;0.991;0.387;0.283;0.469;0.235;0.092;0.068;45.517;23.353;8.973;6.552
29.15;38.15;0.666;0.352;0.144;0.106;1.645;0.853;0.335;0.246;0.405;0.205;0.084;0.063;39.574;19.851;7.998;5.956
29.15;38.25;0.53;0.291;0.123;0.093;1.308;0.701;0.294;0.219;0.325;0.175;0.077;0.058;30.477;16.325;7.17;5.483
29.15;38.35;0.494;0.27;0.114;0.086;1.201;0.646;0.271;0.205;0.29;0.162;0.073;0.056;27.136;14.95;6.675;5.239
29.15;38.45;0.471;0.257;0.109;0.082;1.144;0.613;0.255;0.193;0.27;0.154;0.07;0.054;25.264;14.115;6.393;5.001
29.15;38.55;0.472;0.254;0.107;0.081;1.144;0.606;0.25;0.189;0.267;0.152;0.069;0.054;25.256;13.946;6.303;4.922
29.15;38.65;0.484;0.26;0.11;0.082;1.173;0.619;0.256;0.193;0.274;0.154;0.07;0.054;26.152;14.304;6.414;5.01
29.15;38.75;0.496;0.274;0.116;0.087;1.21;0.655;0.275;0.206;0.288;0.162;0.073;0.056;27.418;15.205;6.781;5.286
29.15;38.85;0.572;0.315;0.131;0.097;1.403;0.761;0.308;0.225;0.342;0.184;0.078;0.058;33.025;17.775;7.527;5.609
29.15;38.95;0.747;0.411;0.158;0.112;1.849;0.983;0.368;0.26;0.458;0.232;0.087;0.063;44.71;23.561;8.632;6.191
29.15;39.05;0.968;0.509;0.177;0.122;2.376;1.209;0.414;0.289;0.61;0.286;0.094;0.067;59.828;29.774;9.531;6.662
29.15;39.15;0.741;0.409;0.164;0.117;1.863;0.992;0.387;0.278;0.452;0.232;0.09;0.066;43.755;23.145;8.964;6.488
29.15;39.25;0.715;0.381;0.153;0.111;1.787;0.921;0.358;0.26;0.428;0.215;0.086;0.064;41.866;21.265;8.404;6.216
29.15;39.35;0.68;0.359;0.145;0.106;1.694;0.866;0.334;0.243;0.402;0.203;0.083;0.062;39.34;19.875;8.002;5.975
29.15;39.45;0.665;0.345;0.134;0.098;1.634;0.825;0.313;0.226;0.394;0.196;0.081;0.061;38.855;19.112;7.715;5.768
29.15;39.55;0.591;0.307;0.121;0.089;1.446;0.733;0.286;0.209;0.361;0.186;0.079;0.059;35.131;17.595;7.382;5.54
29.15;39.65;0.562;0.295;0.117;0.085;1.367;0.7;0.274;0.202;0.348;0.183;0.079;0.059;33.582;17.156;7.302;5.488
29.15;39.75;0.575;0.306;0.118;0.085;1.415;0.729;0.276;0.199;0.363;0.193;0.081;0.06;34.836;18.232;7.472;5.52
29.15;39.85;0.76;0.375;0.124;0.087;1.838;0.882;0.29;0.205;0.464;0.224;0.085;0.061;46.211;22.357;7.839;5.663
29.15;39.95;0.612;0.329;0.126;0.089;1.525;0.794;0.294;0.209;0.383;0.208;0.086;0.062;36.661;19.848;7.974;5.78
29.15;40.05;0.63;0.324;0.126;0.091;1.551;0.78;0.295;0.212;0.403;0.212;0.087;0.063;39.023;19.931;8.043;5.853
29.15;40.15;0.634;0.334;0.132;0.095;1.572;0.806;0.307;0.219;0.411;0.219;0.09;0.064;39.612;20.741;8.314;6.01
29.15;40.25;0.707;0.373;0.145;0.103;1.737;0.889;0.333;0.234;0.444;0.234;0.095;0.067;42.94;22.387;8.846;6.299
29.15;40.35;0.756;0.409;0.155;0.108;1.859;0.972;0.359;0.248;0.482;0.257;0.102;0.07;46.315;24.86;9.529;6.611
29.15;40.45;0.857;0.451;0.165;0.113;2.104;1.081;0.39;0.264;0.56;0.29;0.108;0.074;54.024;28.456;10.393;7.015
29.15;40.55;0.744;0.442;0.186;0.125;1.887;1.094;0.435;0.293;0.526;0.298;0.117;0.077;48.552;28.213;11.42;7.608
29.15;40.65;1.056;0.619;0.25;0.151;2.669;1.514;0.583;0.346;0.722;0.397;0.146;0.085;74.148;42.626;15.062;8.629
29.15;40.75;1.134;0.667;0.285;0.158;2.865;1.627;0.65;0.365;0.783;0.428;0.16;0.087;98.267;57.483;16.988;8.943
29.15;40.85;0.887;0.536;0.217;0.143;2.272;1.31;0.508;0.326;0.623;0.35;0.129;0.08;57.507;33.52;13.154;8.172
29.15;40.95;0.701;0.406;0.169;0.114;1.732;0.977;0.402;0.267;0.476;0.267;0.108;0.071;43.968;24.828;10.503;6.968
29.15;41.05;0.554;0.315;0.13;0.086;1.354;0.76;0.303;0.202;0.374;0.216;0.089;0.059;33.525;19.526;8.266;5.581
29.15;41.15;0.477;0.263;0.105;0.068;1.16;0.627;0.24;0.156;0.321;0.187;0.078;0.053;28.531;16.443;7.057;4.713
29.15;41.25;0.432;0.23;0.087;0.057;1.048;0.55;0.205;0.13;0.293;0.168;0.071;0.047;25.661;14.733;6.132;4.157
29.15;41.35;0.434;0.216;0.077;0.051;1.059;0.511;0.175;0.113;0.289;0.159;0.064;0.043;25.675;13.884;5.588;3.823
29.15;41.45;0.568;0.224;0.068;0.045;1.375;0.526;0.154;0.102;0.34;0.16;0.06;0.04;32.752;14.261;5.141;3.477
29.15;41.55;0.667;0.222;0.06;0.04;1.604;0.517;0.135;0.089;0.399;0.158;0.056;0.038;40.36;14.218;4.642;3.174
29.15;41.65;0.46;0.175;0.053;0.036;1.115;0.406;0.117;0.08;0.297;0.137;0.052;0.035;28.637;11.949;4.239;2.934
29.15;41.75;0.294;0.131;0.046;0.032;0.701;0.303;0.104;0.072;0.222;0.119;0.047;0.032;19.19;9.888;3.903;2.746
29.15;41.85;0.22;0.107;0.041;0.029;0.521;0.244;0.09;0.064;0.191;0.107;0.043;0.03;15.618;8.61;3.578;2.533
29.15;41.95;0.188;0.092;0.037;0.027;0.439;0.21;0.081;0.058;0.174;0.099;0.04;0.028;13.949;7.841;3.279;2.333
29.15;42.05;0.171;0.083;0.033;0.025;0.398;0.188;0.074;0.054;0.162;0.092;0.038;0.026;12.864;7.266;3.043;2.173
29.15;42.15;0.163;0.077;0.031;0.022;0.377;0.174;0.067;0.049;0.154;0.086;0.035;0.024;12.153;6.777;2.854;2.041
29.25;35.35;0.923;0.505;0.205;0.15;2.105;1.115;0.426;0.31;0.617;0.31;0.111;0.079;22.184;12.374;5.472;4.124
29.25;35.45;0.843;0.478;0.205;0.151;1.938;1.07;0.429;0.314;0.559;0.294;0.112;0.08;22.47;12.625;5.633;4.259
29.25;35.55;0.766;0.442;0.197;0.148;1.753;0.988;0.42;0.311;0.503;0.274;0.11;0.08;23.06;12.907;5.782;4.384
29.25;35.65;0.717;0.421;0.192;0.147;1.651;0.939;0.416;0.312;0.474;0.261;0.108;0.08;24.512;13.623;6.039;4.587
29.25;35.75;0.722;0.424;0.196;0.149;1.673;0.95;0.424;0.319;0.473;0.26;0.109;0.081;27.269;15.082;6.52;4.945
29.25;35.85;0.779;0.448;0.204;0.153;1.813;1.015;0.44;0.329;0.51;0.276;0.113;0.083;31.988;17.495;7.228;5.348
29.25;35.95;0.819;0.472;0.209;0.155;1.945;1.09;0.453;0.335;0.533;0.29;0.116;0.085;37.836;20.691;7.853;5.606
29.25;36.05;0.804;0.471;0.208;0.153;1.931;1.097;0.451;0.331;0.518;0.289;0.117;0.085;39.874;22.108;8.24;5.78
29.25;36.15;0.947;0.521;0.205;0.15;2.287;1.195;0.446;0.323;0.589;0.308;0.116;0.084;52.981;26.454;8.421;5.849
29.25;36.25;0.849;0.463;0.189;0.141;2.039;1.068;0.417;0.307;0.531;0.281;0.111;0.081;46.571;23.375;8.17;5.8
29.25;36.35;0.678;0.387;0.171;0.13;1.61;0.882;0.381;0.29;0.438;0.242;0.105;0.078;34.692;19.046;7.822;5.702
29.25;36.45;0.667;0.37;0.163;0.124;1.585;0.848;0.362;0.278;0.429;0.235;0.101;0.076;34.68;18.677;7.721;5.668
29.25;36.55;0.657;0.362;0.16;0.121;1.567;0.835;0.356;0.273;0.428;0.231;0.099;0.075;35.187;18.724;7.749;5.697
29.25;36.65;0.698;0.382;0.164;0.123;1.676;0.886;0.369;0.28;0.449;0.236;0.099;0.075;38.785;20.125;8.018;5.845
29.25;36.75;0.804;0.431;0.173;0.127;1.936;1.005;0.392;0.289;0.489;0.252;0.101;0.075;44.752;22.832;8.444;6.037
29.25;36.85;0.782;0.426;0.173;0.128;1.882;0.996;0.397;0.29;0.481;0.249;0.1;0.074;44.062;22.856;8.574;6.125
29.25;36.95;0.787;0.431;0.177;0.13;1.895;1.011;0.405;0.295;0.481;0.247;0.099;0.074;44.506;23.023;8.754;6.275
29.25;37.05;0.815;0.445;0.179;0.13;1.982;1.051;0.408;0.296;0.5;0.254;0.099;0.073;46.936;24.229;8.885;6.324
29.25;37.15;0.856;0.459;0.177;0.128;2.096;1.089;0.406;0.292;0.541;0.264;0.098;0.072;51.529;25.64;8.874;6.283
29.25;37.25;0.836;0.446;0.171;0.124;2.042;1.053;0.392;0.284;0.512;0.253;0.095;0.07;48.921;24.676;8.612;6.148
29.25;37.35;0.758;0.405;0.159;0.116;1.825;0.944;0.362;0.266;0.451;0.227;0.089;0.067;43.126;21.73;8.112;5.919
29.25;37.45;0.649;0.352;0.148;0.11;1.567;0.828;0.336;0.25;0.386;0.204;0.085;0.064;35.434;18.643;7.692;5.719
29.25;37.55;0.628;0.342;0.147;0.11;1.534;0.815;0.336;0.251;0.376;0.2;0.085;0.064;34.469;18.293;7.734;5.784
29.25;37.65;0.715;0.388;0.159;0.118;1.764;0.926;0.372;0.277;0.428;0.218;0.089;0.067;40.758;20.948;8.357;6.2
29.25;37.75;0.863;0.468;0.182;0.132;2.174;1.137;0.425;0.306;0.527;0.261;0.097;0.071;51.005;26.496;9.477;6.839
29.25;37.85;0.889;0.483;0.186;0.133;2.242;1.174;0.434;0.31;0.557;0.273;0.099;0.072;54.034;28.005;9.822;7.019
29.25;37.95;0.778;0.421;0.168;0.122;1.94;1.024;0.4;0.291;0.483;0.24;0.093;0.069;46.993;24.055;9.089;6.618
29.25;38.05;0.7;0.373;0.151;0.111;1.73;0.9;0.352;0.258;0.425;0.212;0.086;0.064;41.651;20.878;8.223;6.088
29.25;38.15;0.617;0.326;0.133;0.1;1.512;0.785;0.312;0.23;0.36;0.187;0.079;0.06;34.997;17.815;7.501;5.643
29.25;38.25;0.523;0.282;0.118;0.089;1.265;0.673;0.281;0.21;0.302;0.166;0.075;0.057;28.591;15.401;6.805;5.31
29.25;38.35;0.486;0.263;0.111;0.083;1.172;0.626;0.261;0.198;0.276;0.156;0.071;0.055;25.888;14.316;6.444;5.039
29.25;38.45;0.467;0.253;0.108;0.081;1.131;0.602;0.25;0.189;0.263;0.15;0.069;0.054;24.629;13.743;6.263;4.888
29.25;38.55;0.468;0.253;0.107;0.08;1.135;0.602;0.249;0.188;0.263;0.15;0.069;0.054;24.866;13.789;6.254;4.875
29.25;38.65;0.478;0.26;0.111;0.083;1.162;0.62;0.258;0.195;0.272;0.154;0.07;0.054;25.84;14.338;6.439;5.022
29.25;38.75;0.503;0.281;0.119;0.089;1.23;0.671;0.284;0.21;0.296;0.165;0.074;0.056;28.192;15.606;6.923;5.341
29.25;38.85;0.607;0.338;0.14;0.103;1.509;0.816;0.325;0.236;0.368;0.196;0.08;0.059;35.513;19.159;7.818;5.764
29.25;38.95;0.864;0.468;0.171;0.119;2.154;1.126;0.401;0.28;0.536;0.263;0.091;0.065;52.528;27.346;9.197;6.46
29.25;39.05;0.876;0.481;0.179;0.124;2.204;1.163;0.418;0.292;0.539;0.27;0.094;0.067;52.515;28.055;9.626;6.718
29.25;39.15;0.746;0.407;0.162;0.116;1.877;0.987;0.383;0.275;0.457;0.231;0.09;0.066;44.27;23.074;8.877;6.441
29.25;39.25;0.73;0.383;0.151;0.11;1.818;0.924;0.352;0.255;0.434;0.215;0.086;0.063;42.623;21.368;8.303;6.137
29.25;39.35;0.673;0.352;0.14;0.103;1.677;0.85;0.325;0.236;0.4;0.201;0.082;0.061;39.085;19.618;7.87;5.867
29.25;39.45;0.642;0.334;0.13;0.094;1.587;0.803;0.304;0.22;0.383;0.194;0.081;0.06;37.488;18.768;7.621;5.673
29.25;39.55;0.581;0.304;0.119;0.086;1.428;0.727;0.281;0.205;0.357;0.186;0.079;0.059;34.507;17.619;7.328;5.48
29.25;39.65;0.554;0.29;0.115;0.084;1.349;0.689;0.269;0.197;0.343;0.181;0.078;0.058;33;16.931;7.207;5.436
29.25;39.75;0.55;0.291;0.115;0.084;1.341;0.691;0.268;0.196;0.345;0.185;0.08;0.059;32.956;17.224;7.351;5.48
29.25;39.85;0.57;0.304;0.118;0.085;1.402;0.726;0.276;0.2;0.359;0.194;0.082;0.06;34.27;18.225;7.58;5.581
